"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"fl1219",16,2.08853048674363,6,"Haspel-ok",1.05271135926242
"fl122",15,2.06878717351952,8,"Haspel-ok",1.0155709440123
"fl1220",19,3.26998642955632,10,"Haspel-ok",2.27385823947515
"fl1221",13,2.65525888774155,5,"Haspel-ok",1.56030167053663
"fl1222",13,2.05198358413133,5,"Haspel-ok",0.957388339380667
"fl1223",10,3.53322210226715,5,"Haspel-ok",2.3434925429395
"fl1224",2,3.64354030666464,1,"Haspel-ok",0.515550627882514
"fl1225",15,2.04156281633591,11,"Haspel-ok",0.988349895133891
"fl1226",2,4.19287211740042,0,"Haspel-ok",0.761460250195114
"fl1227",3,3.5799522673031,2,"Haspel-ok",1.24882938772438
"fl1228",20,2.36499802916831,11,"Haspel-ok",1.38029691020873
"fl1229",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl123",16,2.284626368396,6,"Haspel-ok",1.24862137474183
"fl1230",5,4.37940221159812,5,"Haspel-ok",2.74314206420833
"fl1231",2,4.19287211740042,0,"Haspel-ok",0.761460250195114
"fl1232",8,3.1413612565445,2,"Haspel-ok",1.84871522376887
"fl1233",9,4.06022669599053,6,"Haspel-ok",2.82388547881779
"fl1234",20,2.43302424914168,11,"Haspel-ok",1.4482959626629
"fl1235",27,3.21827982943117,14,"Haspel-ok",2.28525975441154
"fl1236",19,2.73897562311695,11,"Haspel-ok",1.74285975022491
"fl1237",4,2.64200792602378,0,"Haspel-ok",0.819122890377412
"fl1238",16,2.86676700351179,12,"Haspel-ok",1.83044473437793
"fl1239",8,2.03458799593082,2,"Haspel-ok",0.744245657940972
"fl124",7,3.78648435445701,4,"Haspel-ok",2.4167223574545
"fl1240",13,1.97590493701803,6,"Haspel-ok",0.881390514946589
"fl1241",20,3.407590407633,14,"Haspel-ok",2.42264038097949
"fl1242",13,2.79807243898648,3,"Haspel-ok",1.70306706055595
"fl1243",17,2.8033016664071,12,"Haspel-ok",1.7819303373034
"fl1244",20,2.27617602427921,9,"Haspel-ok",1.29151468515197
"fl1245",14,2.07075064710958,7,"Haspel-ok",0.998367394351882
"fl1246",20,2.94437583321747,13,"Haspel-ok",1.95950370018458
"fl1247",5,4.4709388971684,0,"Haspel-ok",2.83281422299508
"fl1248",17,3.01346012187772,9,"Haspel-ok",1.99201928264927
"fl1249",8,2.44598450876478,2,"Haspel-ok",1.15482561678465
"fl125",16,2.45173153539687,6,"Haspel-ok",1.4156087726252
"fl1250",4,4.90196078431372,0,"Haspel-ok",2.87624949854632
"fl1251",17,3.24447171631781,16,"Haspel-ok",2.2229696310913
"fl1252",10,2.88340241484952,6,"Haspel-ok",1.6942040705869
"fl1253",4,3.26441784548422,1,"Haspel-ok",1.41543042849992
"fl1254",7,3.79140929843131,13,"Haspel-ok",2.42162923002581
"fl1255",9,3.26619488296135,7,"Haspel-ok",2.03091542344119
"fl1256",23,2.42882202131966,11,"Haspel-ok",1.46946084576718
"fl1257",3,4.84261501210654,0,"Haspel-ok",1.92702511229442
"fl1258",11,2.98136645962733,6,"Haspel-ok",1.82932556431247
"fl1259",9,3.2520325203252,2,"Haspel-ok",2.01677533128788
"fl126",13,2.81222536861635,9,"Haspel-ok",1.71721565357007
"fl1260",14,3.52693253859787,17,"Haspel-ok",2.454174334905
"fl1261",13,2.30869126064162,6,"Haspel-ok",1.21389802730385
"fl1262",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl1263",18,2.43235025843722,10,"Haspel-ok",1.42410617467541
"fl1264",19,2.85858349247438,14,"Haspel-ok",1.8624642323559
"fl1265",23,2.30653903817322,8,"Haspel-ok",1.34718301526783
"fl1266",12,3.43839541547278,4,"Haspel-ok",2.31710271266748
"fl1267",19,2.65359525301294,11,"Haspel-ok",1.65748209707534
"fl1268",6,3.40715502555366,2,"Haspel-ok",1.93670927872354
"fl1269",12,3.3058761949365,7,"Haspel-ok",2.18467215092368
"fl127",4,4.70569781577193,8,"Haspel-ok",2.75018502155417
"fl1270",20,2.43121682402042,12,"Haspel-ok",1.44648922633206
"fl1271",5,3.38983050847458,0,"Haspel-ok",1.77165156864697
"fl1272",14,3.13079686607234,9,"Haspel-ok",2.05823020622722
"fl1273",12,2.95602906761916,7,"Haspel-ok",1.83495596207037
"fl1274",4,2.60078023407022,0,"Haspel-ok",0.779449223620016
"fl1275",12,2.33168172544448,8,"Haspel-ok",1.21077365970156
"fl1276",6,2.38473767885533,1,"Haspel-ok",0.921450599718015
"fl1277",17,2.46305418719212,8,"Haspel-ok",1.4418383486662
"fl1278",18,2.44056214281356,8,"Haspel-ok",1.43231705711368
"fl1279",20,2.75182021441266,14,"Haspel-ok",1.76699247724869
"fl128",4,5.54016620498615,0,"Haspel-ok",3.08366553396289
"fl1280",4,4.8721071863581,0,"Haspel-ok",2.8621980941208
"fl1281",15,1.89453741711399,6,"Haspel-ok",0.841346062536401
"fl1282",5,3.12256049960968,1,"Haspel-ok",1.50872976516581
"fl1283",18,2.23373561257097,10,"Haspel-ok",1.2255198514215
"fl1284",8,2.01072386058981,0,"Haspel-ok",0.720421036009994
"fl1285",14,2.71659773299919,13,"Haspel-ok",1.64421095035575
"fl1286",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1287",5,2.45098039215686,0,"Haspel-ok",0.8472955162723
"fl1288",18,2.25322492817846,11,"Haspel-ok",1.24500598800856
"fl1289",11,2.46305418719212,7,"Haspel-ok",1.31127355603685
"fl129",16,2.75925500114969,11,"Haspel-ok",1.72297519079044
"fl1290",6,3.65463682046597,1,"Haspel-ok",2.18236238199574
"fl1291",13,2.34009360374415,3,"Haspel-ok",1.24528175229135
"fl1292",7,3.33908397796205,9,"Haspel-ok",1.97101709340341
"fl1293",7,3.13971742543171,2,"Haspel-ok",1.77240020292863
"fl1294",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1295",21,3.07929176289453,8,"Haspel-ok",2.10380630206737
"fl1296",9,3.24836453868712,7,"Haspel-ok",2.01311316864142
"fl1297",3,3.24543610547667,1,"Haspel-ok",0.980667877857731
"fl1298",6,3.65463682046597,1,"Haspel-ok",2.18236238199574
"fl1299",14,2.53453301229248,9,"Haspel-ok",1.46214690909583
"fl13",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl130",7,3.55450236966825,1,"Haspel-ok",2.18561935747897
"fl1300",19,2.62443273979843,10,"Haspel-ok",1.62832057714216
"fl1301",2,5.81395348837209,0,"Haspel-ok",1.18020544384
"fl1302",19,2.74595353236411,13,"Haspel-ok",1.74983744914247
"fl1303",17,3.06363423611259,6,"Haspel-ok",2.0421789169083
"fl1304",19,2.37702211951139,11,"Haspel-ok",1.3809200714312
"fl1305",12,2.71042497204874,8,"Haspel-ok",1.58940132086071
"fl1306",2,4.36046511627907,0,"Haspel-ok",0.822943989120956
"fl1307",16,1.8754884084397,6,"Haspel-ok",0.839969525041746
"fl1308",5,2.95566502463054,1,"Haspel-ok",1.34445158701517
"fl1309",15,2.96892524905984,11,"Haspel-ok",1.91565258515246
"fl131",14,2.32288037166086,3,"Haspel-ok",1.25049530701822
"fl1310",18,2.05567451820128,9,"Haspel-ok",1.04749327887117
"fl1311",9,2.17292892711634,3,"Haspel-ok",0.939115889808882
"fl1312",10,3.32917186849771,6,"Haspel-ok",2.13963755500369
"fl1313",4,4.19531523132502,5,"Haspel-ok",2.29180142760182
"fl1314",14,3.72468378986576,7,"Haspel-ok",2.65185137625066
"fl1315",15,2.64744815414031,7,"Haspel-ok",1.59418832964506
"fl1316",22,2.64120350839866,12,"Haspel-ok",1.67394560703544
"fl1317",7,3.13534227486501,4,"Haspel-ok",1.76803964670151
"fl1318",9,3.5799522673031,2,"Haspel-ok",2.34424838365688
"fl1319",13,2.5291555430659,7,"Haspel-ok",1.43424882404382
"fl132",4,4.90196078431372,0,"Haspel-ok",2.87624949854632
"fl1320",18,2.2526750516238,4,"Haspel-ok",1.24445619978265
"fl1321",1,7.05882352941176,0,"Haspel-ok",0.353941780706654
"fl1322",12,3.05810397553517,9,"Haspel-ok",1.93701400522712
"fl1323",1,5.44069640914037,0,"Haspel-ok",0.1297468414674
"fl1324",5,4.4709388971684,0,"Haspel-ok",2.83281422299508
"fl1325",19,2.80898876404494,7,"Haspel-ok",1.81287085417994
"fl1326",2,4.88400488400488,4,"Haspel-ok",0.982447320347114
"fl1327",17,3.43995604500609,14,"Haspel-ok",2.41841127148977
"fl1328",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1329",3,8.65800865800866,0,"Haspel-ok",2.48114934786649
"fl133",17,2.50104210087536,6,"Haspel-ok",1.47980535703953
"fl1330",21,1.96618167518679,5,"Haspel-ok",0.990995165597555
"fl1331",14,2.54587885859765,7,"Haspel-ok",1.47349270815379
"fl1332",6,5.68181818181818,2,"Haspel-ok",4.19272951036669
"fl1333",25,2.56004551192021,11,"Haspel-ok",1.61644464466363
"fl1334",6,4.12825099766066,3,"Haspel-ok",2.65235704167169
"fl1335",5,3.38983050847458,0,"Haspel-ok",1.77165156864697
"fl1336",13,3.5254093881652,15,"Haspel-ok",2.43024653850103
"fl1337",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl1338",22,2.13143872113677,6,"Haspel-ok",1.16432393328557
"fl1339",7,3.12581401406616,3,"Haspel-ok",1.75854335773021
"fl134",9,2.17627856365615,1,"Haspel-ok",0.942458718278937
"fl1340",14,3.76687244951345,5,"Haspel-ok",2.69402561360167
"fl1341",18,2.53512200274638,9,"Haspel-ok",1.5268661562457
"fl1342",7,2.48756218905473,4,"Haspel-ok",1.12259926472843
"fl1343",17,2.1505376344086,7,"Haspel-ok",1.12954713200675
"fl1344",12,2.85612281328097,5,"Haspel-ok",1.73506813556443
"fl1345",15,3.6382930341848,12,"Haspel-ok",2.5850038835217
"fl1346",2,3.80228136882129,0,"Haspel-ok",0.594104254588034
"fl1347",7,2.94840294840295,0,"Haspel-ok",1.58178607583108
"fl1348",5,4.89416370977609,4,"Haspel-ok",3.2468577865256
"fl1349",20,3.15494735181607,15,"Haspel-ok",2.17003568718189
"fl135",4,2.77008310249307,0,"Haspel-ok",0.942250978918449
"fl1350",21,2.47816120438635,11,"Haspel-ok",1.50278219619253
"fl1351",9,3.30305532617671,3,"Haspel-ok",2.06771933234959
"fl1352",7,1.97044334975369,0,"Haspel-ok",0.607309837441393
"fl1353",10,3.69571912534647,4,"Haspel-ok",2.50583117063437
"fl1354",20,3.01207843452243,15,"Haspel-ok",2.02719269567726
"fl1355",22,3.0627089660805,16,"Haspel-ok",2.09538531552339
