"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"fl1372",4,4.8721071863581,0,"Haspel-ok"
"fl1373",4,4.36046511627907,3,"Haspel-ok"
"fl1374",5,2.61210274270788,2,"Haspel-ok"
"fl1375",17,2.56931806016487,9,"Haspel-ok"
"fl1376",8,3.11931375097479,1,"Haspel-ok"
"fl1377",2,6.95652173913043,0,"Haspel-ok"
"fl1378",8,2.93135738132074,3,"Haspel-ok"
"fl1379",18,2.94464075382803,7,"Haspel-ok"
"fl138",7,3.36605890603086,1,"Haspel-ok"
"fl1380",4,11.1731843575419,0,"Haspel-ok"
"fl1381",11,2.43605359317905,4,"Haspel-ok"
"fl1382",11,3.76593067130853,16,"Haspel-ok"
"fl1383",13,2.85442435775452,12,"Haspel-ok"
"fl1384",7,3.7593984962406,2,"Haspel-ok"
"fl1385",11,2.88831835686778,6,"Haspel-ok"
"fl1386",14,3.21279405990076,13,"Haspel-ok"
"fl1387",16,3.12726866588485,15,"Haspel-ok"
"fl1388",8,2.95748613678373,3,"Haspel-ok"
"fl1389",26,2.40533985447694,11,"Haspel-ok"
"fl139",16,3.66733221955096,10,"Haspel-ok"
"fl1390",17,2.75893780894356,8,"Haspel-ok"
"fl1391",19,2.52589037635767,9,"Haspel-ok"
"fl1392",2,8.65800865800866,0,"Haspel-ok"
"fl1393",1,5.21739130434783,0,"Haspel-ok"
"fl1394",7,1.41743444365698,0,"Haspel-ok"
"fl1395",7,2.4896265560166,1,"Haspel-ok"
"fl1396",5,3.22234156820623,3,"Haspel-ok"
"fl1397",13,1.96270853778214,3,"Haspel-ok"
"fl1398",16,3.46996313164173,7,"Haspel-ok"
"fl1399",15,2.39008116317283,10,"Haspel-ok"
"fl14",11,2.59291270527226,3,"Haspel-ok"
"fl140",2,4.36046511627907,0,"Haspel-ok"
"fl1400",13,3.00902708124373,3,"Haspel-ok"
"fl1401",7,2.9940119760479,1,"Haspel-ok"
"fl1402",10,2.52047889098929,4,"Haspel-ok"
"fl1403",5,3.93614694948611,6,"Haspel-ok"
"fl1404",11,3.42759211653813,4,"Haspel-ok"
"fl1405",2,5.20156046814044,0,"Haspel-ok"
"fl1406",15,2.93907541585876,14,"Haspel-ok"
"fl1407",21,2.70513976555455,10,"Haspel-ok"
"fl1408",13,3.58016588101915,8,"Haspel-ok"
"fl1409",16,2.24929709465792,5,"Haspel-ok"
"fl141",11,2.63591433278418,7,"Haspel-ok"
"fl1410",4,3.32594235033259,1,"Haspel-ok"
"fl1411",4,6.13496932515337,0,"Haspel-ok"
"fl1412",11,3.51787864100439,14,"Haspel-ok"
"fl1413",17,2.67439268999331,7,"Haspel-ok"
"fl1414",8,3.88941107833922,6,"Haspel-ok"
"fl1415",20,2.84792101765711,14,"Haspel-ok"
"fl1416",9,3.30404056627584,6,"Haspel-ok"
"fl1417",14,3.34415539175387,14,"Haspel-ok"
"fl1418",11,4.36548838901352,6,"Haspel-ok"
"fl1419",18,3.06194831771456,16,"Haspel-ok"
"fl142",25,2.51477429900666,11,"Haspel-ok"
"fl1420",15,2.98976752066054,12,"Haspel-ok"
"fl1421",15,2.70148581719946,10,"Haspel-ok"
"fl1422",5,3.38983050847458,0,"Haspel-ok"
"fl1423",9,3.26916091536506,5,"Haspel-ok"
"fl1424",5,2.64084507042254,1,"Haspel-ok"
"fl1425",18,3.13807531380753,9,"Haspel-ok"
"fl1426",4,3.24543610547667,1,"Haspel-ok"
"fl1427",2,12.3456790123457,0,"Haspel-ok"
"fl1428",13,2.33081368058141,6,"Haspel-ok"
"fl1429",18,2.41004184100418,8,"Haspel-ok"
"fl143",10,2.41220576115143,9,"Haspel-ok"
"fl1430",7,3.47826086956522,3,"Haspel-ok"
"fl1431",4,3.24543610547667,1,"Haspel-ok"
"fl1432",12,3.62756952841596,12,"Haspel-ok"
"fl1433",4,5.54016620498615,0,"Haspel-ok"
"fl1434",13,3.05907845261615,6,"Haspel-ok"
"fl1435",18,2.80483054148812,8,"Haspel-ok"
"fl1436",14,2.10822206605762,4,"Haspel-ok"
"fl1437",15,2.45725401863418,7,"Haspel-ok"
"fl1438",10,2.50941028858218,2,"Haspel-ok"
"fl1439",12,3.38685505107095,14,"Haspel-ok"
"fl144",2,3.80228136882129,0,"Haspel-ok"
"fl1440",9,2.63881253435954,3,"Haspel-ok"
"fl1441",19,2.62448057155355,7,"Haspel-ok"
"fl1442",16,3.02241625388297,14,"Haspel-ok"
"fl1443",5,5.11836212412028,2,"Haspel-ok"
"fl1444",1,5.21739130434783,0,"Haspel-ok"
"fl1445",14,2.58620689655172,4,"Haspel-ok"
